restart,seed,loglik,n_iter,converged
0,20260917,-2769.861725610538,29,True
1,20260918,-2540.115046537961,66,True
2,20260919,-2759.6476007573237,24,True
3,20260920,-2602.6396612738363,38,True
4,20260921,-2584.415003323217,59,True
5,20260922,-2475.3797677460802,29,True
6,20260923,-2808.348412083242,35,True
7,20260924,-2367.3798193718308,37,True
8,20260925,-2462.4457448324574,69,True
9,20260926,-2481.0719259676193,21,True
10,20260927,-2778.882914485209,72,True
11,20260928,-2432.1722298584696,36,True
12,20260929,-2552.1808746397965,43,True
13,20260930,-2652.989890589218,19,True
14,20260931,-2548.5101296401626,30,True
15,20260932,-2570.5833033342738,22,True
16,20260933,-2666.889435743828,35,True
17,20260934,-2647.017615044996,28,True
18,20260935,-2523.2059700267732,23,True
19,20260936,-2488.7190718411257,66,True
