refit_date,state,n_rows,degenerate
2004-12-31,0,51,False
2004-12-31,1,40,False
2004-12-31,2,33,False
2004-12-31,3,44,False
2005-12-31,0,43,False
2005-12-31,1,57,False
2005-12-31,2,42,False
2005-12-31,3,38,False
2006-12-31,0,64,False
2006-12-31,1,58,False
2006-12-31,2,38,False
2006-12-31,3,32,False
2007-12-31,0,61,False
2007-12-31,1,75,False
2007-12-31,2,28,False
2007-12-31,3,40,False
2008-12-31,0,61,False
2008-12-31,1,62,False
2008-12-31,2,45,False
2008-12-31,3,48,False
2009-12-31,0,37,False
2009-12-31,1,35,False
2009-12-31,2,71,False
2009-12-31,3,85,False
2010-12-31,0,67,False
2010-12-31,1,26,False
2010-12-31,2,62,False
2010-12-31,3,85,False
2011-12-31,0,51,False
2011-12-31,1,38,False
2011-12-31,2,67,False
2011-12-31,3,96,False
2012-12-31,0,52,False
2012-12-31,1,29,False
2012-12-31,2,108,False
2012-12-31,3,75,False
2013-12-31,0,55,False
2013-12-31,1,50,False
2013-12-31,2,108,False
2013-12-31,3,63,False
2014-12-31,0,107,False
2014-12-31,1,36,False
2014-12-31,2,67,False
2014-12-31,3,78,False
2015-12-31,0,122,False
2015-12-31,1,35,False
2015-12-31,2,57,False
2015-12-31,3,86,False
2016-12-31,0,62,False
2016-12-31,1,40,False
2016-12-31,2,102,False
2016-12-31,3,108,False
2017-12-31,0,75,False
2017-12-31,1,46,False
2017-12-31,2,71,False
2017-12-31,3,132,False
2018-12-31,0,79,False
2018-12-31,1,40,False
2018-12-31,2,79,False
2018-12-31,3,138,False
2019-12-31,0,75,False
2019-12-31,1,54,False
2019-12-31,2,134,False
2019-12-31,3,85,False
2020-12-31,0,142,False
2020-12-31,1,41,False
2020-12-31,2,80,False
2020-12-31,3,97,False
2021-12-31,0,107,False
2021-12-31,1,51,False
2021-12-31,2,152,False
2021-12-31,3,62,False
2022-12-31,0,111,False
2022-12-31,1,41,False
2022-12-31,2,146,False
2022-12-31,3,86,False
2023-12-31,0,96,False
2023-12-31,1,39,False
2023-12-31,2,118,False
2023-12-31,3,143,False
2024-12-31,0,135,False
2024-12-31,1,64,False
2024-12-31,2,129,False
2024-12-31,3,80,False
2025-12-31,0,131,False
2025-12-31,1,51,False
2025-12-31,2,101,False
2025-12-31,3,137,False
