factor,state_a,state_b,sharpe_diff,diff_p05,diff_p95,excludes_zero,n_a,n_b
Mkt-RF,0,1,-0.36324767275090314,-1.6658950056688306,0.9809311135140573,False,122,28
Mkt-RF,0,2,-0.5081409768080465,-1.3622664507001614,0.41046043911846025,False,122,67
Mkt-RF,0,3,0.43639702094749744,-0.4020988111161097,1.439154249677721,False,122,41
Mkt-RF,1,2,-0.1448933040571433,-1.714446266243991,1.578169501871826,False,28,67
Mkt-RF,1,3,0.7996446936984005,-0.7265883689167572,2.4817516784580134,False,28,41
Mkt-RF,2,3,0.9445379977555439,-0.06836287308929138,2.0016867721696103,False,67,41
SMB,0,1,0.6668818285665569,-0.9589697719554373,2.2259025415321214,False,122,28
SMB,0,2,-0.18005619066044806,-1.1750012309435378,0.7546675462037032,False,122,67
SMB,0,3,-0.4689536899727568,-1.255491514336988,0.4710596584403975,False,122,41
SMB,1,2,-0.8469380192270048,-2.3023479985187265,0.7486460371306565,False,28,67
SMB,1,3,-1.1358355185393136,-2.6672542675972695,0.6233809884030996,False,28,41
SMB,2,3,-0.28889749931230874,-1.2660514031372392,0.8106746832057636,False,67,41
HML,0,1,-1.0692666640627866,-2.8287563508278395,0.3619114313987908,False,122,28
HML,0,2,-0.7325074789867931,-1.6069381109394105,0.10150657397610957,False,122,67
HML,0,3,-0.19251474368120172,-1.1178936414219622,0.9721570873087644,False,122,41
HML,1,2,0.3367591850759935,-1.056689106695278,1.9998466692639254,False,28,67
HML,1,3,0.8767519203815849,-0.6489434360487585,2.9034360003196484,False,28,41
HML,2,3,0.5399927353055913,-0.5395144170901819,1.886351135482885,False,67,41
RMW,0,1,-0.4830222481729601,-1.7833272171210501,1.0806767665052197,False,122,28
RMW,0,2,-1.0727387449028336,-1.8681757875368088,-0.23713123131768846,True,122,67
RMW,0,3,-0.47759523520387537,-1.6449976338291195,0.7446782060892261,False,122,41
RMW,1,2,-0.5897164967298735,-2.150700621969873,0.7099086423401266,False,28,67
RMW,1,3,0.00542701296908471,-1.8807796597561142,1.5698883033551323,False,28,41
RMW,2,3,0.5951435096989581,-0.6581620826377559,1.8742851815150654,False,67,41
CMA,0,1,-0.3922871247993357,-1.6182542559597255,0.681525697733788,False,122,28
CMA,0,2,-0.3808634633818565,-1.1675506923468695,0.4002127764731004,False,122,67
CMA,0,3,-0.6311560860683467,-1.6930451961036008,0.6073665206055672,False,122,41
CMA,1,2,0.011423661417479206,-1.0195232158363468,1.2684118043545158,False,28,67
CMA,1,3,-0.23886896126901108,-1.5519734756891113,1.448047876139054,False,28,41
CMA,2,3,-0.2502926226864903,-1.4571304163672771,1.0913664284409688,False,67,41
UMD,0,1,-1.1407925607975689,-2.1764253479060547,0.6905915527309089,False,122,28
UMD,0,2,0.15040658680637264,-0.4976328911900054,0.9668925528819409,False,122,67
UMD,0,3,-0.2256899923821539,-1.0161447579354368,0.7854367477331491,False,122,41
UMD,1,2,1.2911991476039415,-0.614175957212912,2.423872274456433,False,28,67
UMD,1,3,0.9151025684154149,-1.0219226140890612,2.208502308189415,False,28,41
UMD,2,3,-0.37609657918852657,-1.3414319074192351,0.7241439018433107,False,67,41
