restart,seed,loglik,n_iter,converged
0,20260917,-3817.8891686616303,45,True
1,20260918,-3548.0140280753726,43,True
2,20260919,-3546.426993993356,50,True
3,20260920,-3639.5796996701124,36,True
4,20260921,-3641.788442943408,31,True
5,20260922,-3554.735961200645,60,True
6,20260923,-3826.7267126362217,28,True
7,20260924,-3645.755071577578,33,True
8,20260925,-3618.143404908874,27,True
9,20260926,-3543.3289437514245,94,True
10,20260927,-3761.411497458565,48,True
11,20260928,-3647.8983455555085,46,True
12,20260929,-3598.038147867293,35,True
13,20260930,-3734.0198127287467,38,True
14,20260931,-3576.5855115419836,33,True
15,20260932,-3748.721175481655,35,True
16,20260933,-3814.3951690641256,25,True
17,20260934,-3898.641703098306,44,True
18,20260935,-3701.062275840976,43,True
19,20260936,-3506.636140341946,56,True
